time,container,cpu_perc,mem_usage,net_io
1671421196,postgres-queries-vs-functions-performance-postgres-1,4.07%,115.2MiB / 8GiB,21.2kB / 2.82MB
1671421198,postgres-queries-vs-functions-performance-postgres-1,42.69%,217.5MiB / 8GiB,506kB / 5.2MB
1671421200,postgres-queries-vs-functions-performance-postgres-1,39.73%,225.3MiB / 8GiB,804kB / 5.48MB
1671421202,postgres-queries-vs-functions-performance-postgres-1,38.39%,227MiB / 8GiB,1.13MB / 5.79MB
1671421204,postgres-queries-vs-functions-performance-postgres-1,40.49%,227.5MiB / 8GiB,1.5MB / 6.15MB
1671421206,postgres-queries-vs-functions-performance-postgres-1,39.49%,227.6MiB / 8GiB,1.89MB / 6.52MB
1671421208,postgres-queries-vs-functions-performance-postgres-1,43.52%,227.6MiB / 8GiB,2.11MB / 6.73MB
1671421210,postgres-queries-vs-functions-performance-postgres-1,38.85%,227.7MiB / 8GiB,2.47MB / 7.08MB
1671421212,postgres-queries-vs-functions-performance-postgres-1,38.58%,227.8MiB / 8GiB,2.81MB / 7.4MB
1671421214,postgres-queries-vs-functions-performance-postgres-1,37.68%,227.9MiB / 8GiB,3.16MB / 7.73MB
1671421216,postgres-queries-vs-functions-performance-postgres-1,38.59%,228MiB / 8GiB,3.53MB / 8.09MB
1671421218,postgres-queries-vs-functions-performance-postgres-1,41.73%,228.8MiB / 8GiB,3.87MB / 8.41MB
1671421220,postgres-queries-vs-functions-performance-postgres-1,40.03%,228.9MiB / 8GiB,4.24MB / 8.77MB
1671421222,postgres-queries-vs-functions-performance-postgres-1,41.18%,229MiB / 8GiB,4.65MB / 9.16MB
1671421224,postgres-queries-vs-functions-performance-postgres-1,38.67%,229.1MiB / 8GiB,5.01MB / 9.5MB
1671421226,postgres-queries-vs-functions-performance-postgres-1,40.77%,229.2MiB / 8GiB,5.4MB / 9.87MB
1671421228,postgres-queries-vs-functions-performance-postgres-1,41.38%,229.3MiB / 8GiB,5.77MB / 10.2MB
1671421230,postgres-queries-vs-functions-performance-postgres-1,41.74%,229.3MiB / 8GiB,6.02MB / 10.5MB
1671421232,postgres-queries-vs-functions-performance-postgres-1,39.64%,229.4MiB / 8GiB,6.35MB / 10.8MB
1671421235,postgres-queries-vs-functions-performance-postgres-1,39.81%,229.5MiB / 8GiB,6.52MB / 10.9MB
1671421237,postgres-queries-vs-functions-performance-postgres-1,36.97%,229.6MiB / 8GiB,6.82MB / 11.2MB
1671421239,postgres-queries-vs-functions-performance-postgres-1,37.94%,230.2MiB / 8GiB,7.1MB / 11.5MB
1671421241,postgres-queries-vs-functions-performance-postgres-1,39.02%,230.3MiB / 8GiB,7.34MB / 11.7MB
1671421243,postgres-queries-vs-functions-performance-postgres-1,39.69%,230.4MiB / 8GiB,7.64MB / 12MB
1671421245,postgres-queries-vs-functions-performance-postgres-1,42.15%,230.4MiB / 8GiB,7.9MB / 12.3MB
