time,container,cpu_perc,mem_usage,net_io
1671421069,postgres-queries-vs-functions-performance-postgres-1,26.99%,136.6MiB / 8GiB,96.3kB / 4.77MB
1671421072,postgres-queries-vs-functions-performance-postgres-1,39.67%,207MiB / 8GiB,539kB / 5MB
1671421074,postgres-queries-vs-functions-performance-postgres-1,54.31%,222.9MiB / 8GiB,1.02MB / 5.25MB
1671421076,postgres-queries-vs-functions-performance-postgres-1,36.67%,226.9MiB / 8GiB,1.6MB / 5.55MB
1671421078,postgres-queries-vs-functions-performance-postgres-1,35.24%,227.5MiB / 8GiB,2.18MB / 5.85MB
1671421080,postgres-queries-vs-functions-performance-postgres-1,36.59%,227.7MiB / 8GiB,2.8MB / 6.17MB
1671421082,postgres-queries-vs-functions-performance-postgres-1,38.74%,227.8MiB / 8GiB,3.49MB / 6.53MB
1671421084,postgres-queries-vs-functions-performance-postgres-1,35.70%,227.9MiB / 8GiB,4.01MB / 6.8MB
1671421086,postgres-queries-vs-functions-performance-postgres-1,36.13%,228MiB / 8GiB,4.62MB / 7.11MB
1671421088,postgres-queries-vs-functions-performance-postgres-1,35.57%,228.1MiB / 8GiB,5.19MB / 7.41MB
1671421090,postgres-queries-vs-functions-performance-postgres-1,34.69%,228.1MiB / 8GiB,5.72MB / 7.68MB
1671421092,postgres-queries-vs-functions-performance-postgres-1,46.32%,229.9MiB / 8GiB,6.2MB / 7.93MB
1671421094,postgres-queries-vs-functions-performance-postgres-1,35.13%,230MiB / 8GiB,6.77MB / 8.23MB
1671421096,postgres-queries-vs-functions-performance-postgres-1,37.13%,230.1MiB / 8GiB,7.35MB / 8.53MB
1671421098,postgres-queries-vs-functions-performance-postgres-1,34.79%,230.2MiB / 8GiB,7.83MB / 8.78MB
1671421100,postgres-queries-vs-functions-performance-postgres-1,37.08%,230.3MiB / 8GiB,8.28MB / 9.01MB
1671421102,postgres-queries-vs-functions-performance-postgres-1,37.40%,230.3MiB / 8GiB,8.73MB / 9.24MB
1671421104,postgres-queries-vs-functions-performance-postgres-1,36.91%,230.4MiB / 8GiB,9.37MB / 9.57MB
1671421107,postgres-queries-vs-functions-performance-postgres-1,35.11%,230.5MiB / 8GiB,9.81MB / 9.8MB
1671421108,postgres-queries-vs-functions-performance-postgres-1,34.02%,230.6MiB / 8GiB,10.4MB / 10.1MB
1671421111,postgres-queries-vs-functions-performance-postgres-1,34.88%,230.7MiB / 8GiB,11MB / 10.4MB
1671421113,postgres-queries-vs-functions-performance-postgres-1,40.27%,231.4MiB / 8GiB,11.6MB / 10.7MB
1671421115,postgres-queries-vs-functions-performance-postgres-1,35.18%,231.5MiB / 8GiB,12.2MB / 11MB
1671421117,postgres-queries-vs-functions-performance-postgres-1,38.27%,231.6MiB / 8GiB,12.5MB / 11.2MB
1671421119,postgres-queries-vs-functions-performance-postgres-1,32.66%,231.7MiB / 8GiB,13MB / 11.5MB
1671421121,postgres-queries-vs-functions-performance-postgres-1,36.08%,231.8MiB / 8GiB,13.5MB / 11.7MB
1671421123,postgres-queries-vs-functions-performance-postgres-1,36.08%,231.9MiB / 8GiB,13.9MB / 11.9MB
1671421125,postgres-queries-vs-functions-performance-postgres-1,34.48%,231.9MiB / 8GiB,14.4MB / 12.2MB
1671421127,postgres-queries-vs-functions-performance-postgres-1,34.68%,232.1MiB / 8GiB,15MB / 12.5MB
1671421129,postgres-queries-vs-functions-performance-postgres-1,36.91%,232.2MiB / 8GiB,15.7MB / 12.8MB
1671421131,postgres-queries-vs-functions-performance-postgres-1,36.54%,232.2MiB / 8GiB,16.2MB / 13.1MB
1671421133,postgres-queries-vs-functions-performance-postgres-1,36.51%,232.3MiB / 8GiB,16.8MB / 13.4MB
1671421135,postgres-queries-vs-functions-performance-postgres-1,36.65%,232.4MiB / 8GiB,17.4MB / 13.7MB
1671421137,postgres-queries-vs-functions-performance-postgres-1,39.29%,232.5MiB / 8GiB,17.9MB / 14MB
1671421139,postgres-queries-vs-functions-performance-postgres-1,41.27%,232.6MiB / 8GiB,18.3MB / 14.2MB
1671421141,postgres-queries-vs-functions-performance-postgres-1,35.60%,232.7MiB / 8GiB,18.8MB / 14.4MB
1671421143,postgres-queries-vs-functions-performance-postgres-1,34.62%,232.8MiB / 8GiB,19.2MB / 14.7MB
1671421145,postgres-queries-vs-functions-performance-postgres-1,36.79%,232.9MiB / 8GiB,19.7MB / 14.9MB
1671421147,postgres-queries-vs-functions-performance-postgres-1,34.28%,233MiB / 8GiB,20.3MB / 15.2MB
1671421149,postgres-queries-vs-functions-performance-postgres-1,38.59%,233.1MiB / 8GiB,20.8MB / 15.5MB
1671421151,postgres-queries-vs-functions-performance-postgres-1,35.55%,233.1MiB / 8GiB,21.4MB / 15.8MB
1671421153,postgres-queries-vs-functions-performance-postgres-1,36.28%,233.1MiB / 8GiB,22MB / 16.1MB
1671421155,postgres-queries-vs-functions-performance-postgres-1,34.14%,233.2MiB / 8GiB,22.4MB / 16.3MB
1671421157,postgres-queries-vs-functions-performance-postgres-1,34.61%,233.3MiB / 8GiB,22.9MB / 16.6MB
1671421159,postgres-queries-vs-functions-performance-postgres-1,37.24%,233.3MiB / 8GiB,23.4MB / 16.8MB
1671421161,postgres-queries-vs-functions-performance-postgres-1,37.04%,233.4MiB / 8GiB,23.9MB / 17.1MB
1671421163,postgres-queries-vs-functions-performance-postgres-1,34.75%,233.5MiB / 8GiB,24.5MB / 17.4MB
1671421165,postgres-queries-vs-functions-performance-postgres-1,36.02%,233.6MiB / 8GiB,25.1MB / 17.7MB
1671421167,postgres-queries-vs-functions-performance-postgres-1,0.08%,231.4MiB / 8GiB,25.1MB / 17.7MB
