time,container,cpu_perc,mem_usage,net_io
1671407670,postgres-queries-vs-functions-performance-postgres-1,1.09%,110.3MiB / 8GiB,6.18kB / 276kB
1671407672,postgres-queries-vs-functions-performance-postgres-1,44.22%,209.5MiB / 8GiB,388kB / 5.08MB
1671407674,postgres-queries-vs-functions-performance-postgres-1,38.94%,224.4MiB / 8GiB,725kB / 5.4MB
1671407676,postgres-queries-vs-functions-performance-postgres-1,38.64%,227.1MiB / 8GiB,1.1MB / 5.76MB
1671407678,postgres-queries-vs-functions-performance-postgres-1,35.49%,227.6MiB / 8GiB,1.41MB / 6.06MB
1671407680,postgres-queries-vs-functions-performance-postgres-1,38.82%,227.7MiB / 8GiB,1.79MB / 6.42MB
1671407682,postgres-queries-vs-functions-performance-postgres-1,41.97%,227.8MiB / 8GiB,2.17MB / 6.78MB
1671407684,postgres-queries-vs-functions-performance-postgres-1,37.85%,227.9MiB / 8GiB,2.56MB / 7.16MB
1671407686,postgres-queries-vs-functions-performance-postgres-1,38.10%,228MiB / 8GiB,2.96MB / 7.53MB
1671407688,postgres-queries-vs-functions-performance-postgres-1,38.02%,228.1MiB / 8GiB,3.33MB / 7.88MB
1671407690,postgres-queries-vs-functions-performance-postgres-1,38.07%,228.2MiB / 8GiB,3.72MB / 8.26MB
1671407692,postgres-queries-vs-functions-performance-postgres-1,42.27%,228.9MiB / 8GiB,4.1MB / 8.63MB
1671407694,postgres-queries-vs-functions-performance-postgres-1,39.71%,229MiB / 8GiB,4.49MB / 9MB
1671407696,postgres-queries-vs-functions-performance-postgres-1,38.68%,229.1MiB / 8GiB,4.87MB / 9.36MB
1671407698,postgres-queries-vs-functions-performance-postgres-1,38.39%,229.2MiB / 8GiB,5.25MB / 9.72MB
1671407700,postgres-queries-vs-functions-performance-postgres-1,40.71%,229.3MiB / 8GiB,5.64MB / 10.1MB
1671407702,postgres-queries-vs-functions-performance-postgres-1,40.19%,229.4MiB / 8GiB,6.01MB / 10.5MB
1671407704,postgres-queries-vs-functions-performance-postgres-1,39.16%,229.5MiB / 8GiB,6.4MB / 10.8MB
1671407706,postgres-queries-vs-functions-performance-postgres-1,38.52%,229.6MiB / 8GiB,6.79MB / 11.2MB
1671407709,postgres-queries-vs-functions-performance-postgres-1,37.48%,229.7MiB / 8GiB,7.16MB / 11.5MB
1671407711,postgres-queries-vs-functions-performance-postgres-1,40.05%,229.8MiB / 8GiB,7.54MB / 11.9MB
1671407713,postgres-queries-vs-functions-performance-postgres-1,40.93%,230.5MiB / 8GiB,7.92MB / 12.3MB
1671407715,postgres-queries-vs-functions-performance-postgres-1,38.47%,230.6MiB / 8GiB,8.32MB / 12.7MB
1671407717,postgres-queries-vs-functions-performance-postgres-1,38.92%,230.7MiB / 8GiB,8.69MB / 13MB
1671407719,postgres-queries-vs-functions-performance-postgres-1,40.68%,230.9MiB / 8GiB,9.06MB / 13.4MB
1671407721,postgres-queries-vs-functions-performance-postgres-1,37.81%,230.9MiB / 8GiB,9.45MB / 13.7MB
1671407723,postgres-queries-vs-functions-performance-postgres-1,36.71%,231MiB / 8GiB,9.81MB / 14.1MB
1671407725,postgres-queries-vs-functions-performance-postgres-1,37.83%,231.1MiB / 8GiB,10.2MB / 14.4MB
1671407727,postgres-queries-vs-functions-performance-postgres-1,38.25%,231.3MiB / 8GiB,10.6MB / 14.8MB
1671407729,postgres-queries-vs-functions-performance-postgres-1,42.11%,231.4MiB / 8GiB,11MB / 15.2MB
1671407731,postgres-queries-vs-functions-performance-postgres-1,40.74%,231.5MiB / 8GiB,11.4MB / 15.6MB
1671407733,postgres-queries-vs-functions-performance-postgres-1,38.31%,231.6MiB / 8GiB,11.7MB / 15.9MB
1671407735,postgres-queries-vs-functions-performance-postgres-1,37.12%,231.7MiB / 8GiB,12.1MB / 16.3MB
1671407737,postgres-queries-vs-functions-performance-postgres-1,38.00%,231.8MiB / 8GiB,12.5MB / 16.7MB
1671407739,postgres-queries-vs-functions-performance-postgres-1,40.81%,231.9MiB / 8GiB,12.9MB / 17MB
1671407741,postgres-queries-vs-functions-performance-postgres-1,38.52%,232MiB / 8GiB,13.3MB / 17.4MB
1671407743,postgres-queries-vs-functions-performance-postgres-1,38.13%,232.1MiB / 8GiB,13.7MB / 17.8MB
1671407745,postgres-queries-vs-functions-performance-postgres-1,36.99%,232.2MiB / 8GiB,14MB / 18.1MB
1671407747,postgres-queries-vs-functions-performance-postgres-1,37.92%,232.3MiB / 8GiB,14.4MB / 18.5MB
1671407749,postgres-queries-vs-functions-performance-postgres-1,41.91%,232.4MiB / 8GiB,14.8MB / 18.8MB
1671407751,postgres-queries-vs-functions-performance-postgres-1,38.66%,232.5MiB / 8GiB,15.1MB / 19.2MB
1671407753,postgres-queries-vs-functions-performance-postgres-1,39.62%,232.6MiB / 8GiB,15.5MB / 19.6MB
1671407755,postgres-queries-vs-functions-performance-postgres-1,25.37%,230.5MiB / 8GiB,15.8MB / 19.8MB
1671407757,postgres-queries-vs-functions-performance-postgres-1,0.06%,230.5MiB / 8GiB,15.8MB / 19.8MB
