time,container,cpu_perc,mem_usage,net_io
1671407553,postgres-queries-vs-functions-performance-postgres-1,40.11%,155.5MiB / 8GiB,156kB / 4.81MB
1671407556,postgres-queries-vs-functions-performance-postgres-1,39.82%,218.6MiB / 8GiB,751kB / 5.12MB
1671407558,postgres-queries-vs-functions-performance-postgres-1,46.02%,226.6MiB / 8GiB,1.35MB / 5.42MB
1671407560,postgres-queries-vs-functions-performance-postgres-1,34.13%,227.7MiB / 8GiB,1.96MB / 5.74MB
1671407562,postgres-queries-vs-functions-performance-postgres-1,34.24%,227.8MiB / 8GiB,2.55MB / 6.05MB
1671407564,postgres-queries-vs-functions-performance-postgres-1,34.84%,228MiB / 8GiB,3.17MB / 6.37MB
1671407566,postgres-queries-vs-functions-performance-postgres-1,35.80%,228.1MiB / 8GiB,3.76MB / 6.67MB
1671407568,postgres-queries-vs-functions-performance-postgres-1,34.24%,228.2MiB / 8GiB,4.36MB / 6.99MB
1671407570,postgres-queries-vs-functions-performance-postgres-1,36.10%,228.3MiB / 8GiB,5.01MB / 7.32MB
1671407572,postgres-queries-vs-functions-performance-postgres-1,36.27%,228.4MiB / 8GiB,5.62MB / 7.64MB
1671407574,postgres-queries-vs-functions-performance-postgres-1,34.13%,228.5MiB / 8GiB,6.19MB / 7.93MB
1671407576,postgres-queries-vs-functions-performance-postgres-1,42.65%,230.2MiB / 8GiB,6.8MB / 8.25MB
1671407578,postgres-queries-vs-functions-performance-postgres-1,34.56%,230.3MiB / 8GiB,7.38MB / 8.55MB
1671407580,postgres-queries-vs-functions-performance-postgres-1,35.71%,230.4MiB / 8GiB,8MB / 8.87MB
1671407582,postgres-queries-vs-functions-performance-postgres-1,34.28%,230.5MiB / 8GiB,8.61MB / 9.19MB
1671407584,postgres-queries-vs-functions-performance-postgres-1,33.41%,230.6MiB / 8GiB,9.11MB / 9.45MB
1671407586,postgres-queries-vs-functions-performance-postgres-1,38.17%,230.7MiB / 8GiB,9.74MB / 9.77MB
1671407588,postgres-queries-vs-functions-performance-postgres-1,33.63%,230.8MiB / 8GiB,10.3MB / 10MB
1671407590,postgres-queries-vs-functions-performance-postgres-1,35.17%,231MiB / 8GiB,10.8MB / 10.3MB
1671407592,postgres-queries-vs-functions-performance-postgres-1,36.99%,231MiB / 8GiB,11.5MB / 10.7MB
1671407594,postgres-queries-vs-functions-performance-postgres-1,36.85%,231.1MiB / 8GiB,12.1MB / 11MB
1671407596,postgres-queries-vs-functions-performance-postgres-1,38.05%,231.8MiB / 8GiB,12.6MB / 11.3MB
1671407598,postgres-queries-vs-functions-performance-postgres-1,33.71%,231.9MiB / 8GiB,13.2MB / 11.6MB
1671407600,postgres-queries-vs-functions-performance-postgres-1,33.02%,232.1MiB / 8GiB,13.8MB / 11.9MB
1671407602,postgres-queries-vs-functions-performance-postgres-1,37.54%,232.2MiB / 8GiB,14.3MB / 12.2MB
1671407604,postgres-queries-vs-functions-performance-postgres-1,34.95%,232.2MiB / 8GiB,14.9MB / 12.5MB
1671407606,postgres-queries-vs-functions-performance-postgres-1,34.59%,232.4MiB / 8GiB,15.6MB / 12.8MB
1671407608,postgres-queries-vs-functions-performance-postgres-1,34.46%,232.5MiB / 8GiB,16.2MB / 13.1MB
1671407610,postgres-queries-vs-functions-performance-postgres-1,35.51%,232.6MiB / 8GiB,16.7MB / 13.4MB
1671407612,postgres-queries-vs-functions-performance-postgres-1,36.20%,232.7MiB / 8GiB,17.3MB / 13.7MB
1671407614,postgres-queries-vs-functions-performance-postgres-1,33.70%,232.8MiB / 8GiB,17.9MB / 14MB
1671407616,postgres-queries-vs-functions-performance-postgres-1,34.94%,232.9MiB / 8GiB,18.5MB / 14.3MB
1671407618,postgres-queries-vs-functions-performance-postgres-1,32.58%,233MiB / 8GiB,19MB / 14.6MB
1671407620,postgres-queries-vs-functions-performance-postgres-1,34.81%,233.1MiB / 8GiB,19.6MB / 14.9MB
1671407622,postgres-queries-vs-functions-performance-postgres-1,37.90%,233.2MiB / 8GiB,20.2MB / 15.2MB
1671407624,postgres-queries-vs-functions-performance-postgres-1,34.20%,233.2MiB / 8GiB,20.8MB / 15.5MB
1671407626,postgres-queries-vs-functions-performance-postgres-1,33.15%,233.4MiB / 8GiB,21.3MB / 15.8MB
1671407628,postgres-queries-vs-functions-performance-postgres-1,37.04%,233.5MiB / 8GiB,22MB / 16.1MB
1671407630,postgres-queries-vs-functions-performance-postgres-1,34.36%,233.6MiB / 8GiB,22.6MB / 16.4MB
1671407632,postgres-queries-vs-functions-performance-postgres-1,37.42%,233.7MiB / 8GiB,23.2MB / 16.7MB
1671407634,postgres-queries-vs-functions-performance-postgres-1,35.37%,233.8MiB / 8GiB,23.8MB / 17MB
1671407636,postgres-queries-vs-functions-performance-postgres-1,32.72%,233.9MiB / 8GiB,24.4MB / 17.3MB
1671407638,postgres-queries-vs-functions-performance-postgres-1,33.54%,234MiB / 8GiB,24.9MB / 17.6MB
1671407640,postgres-queries-vs-functions-performance-postgres-1,0.08%,231.9MiB / 8GiB,25.1MB / 17.7MB
